"","Com.ES","ES.var","Qval","Qpval","tau2","Zval","Pval","FDR","AveFC","propDataset"
"LHX6",0.634595772648772,0.00818765901062111,0.715355013713664,0.699298557636135,0,7.01321739010039,2.32902586105865e-12,9.20059890966179e-11,1.62527500639894,1
"CMKLR1",0.619196154808608,0.0362511707650663,7.4212424162673,0.0244623223570594,0.0767566974620611,3.25212501667129,0.00114545627923923,0.00395389916705429,1.16262068379313,1
"CNTN1",-0.400738761563059,0.00809673689098266,0.530809044230064,0.766895660965921,0,-4.45355005954389,8.44620041640098e-06,5.53100914060544e-05,-1.10222814898835,1
"CACNG4",-0.426193504099392,0.00810351857000097,0.166588478273314,0.920080383729707,0,-4.73445518731994,2.19644291976628e-06,1.70487478388888e-05,-1.04239214815794,1
"CPNE7",0.917152452447311,0.00836200606985863,0.746053848995552,0.68864669112804,0,10.029661883055,0,0,2.00552007137478,1
"GPR162",0.726485843916972,0.00823762274638047,1.42201125487267,0.491150035080353,0,8.00435251167565,1.11022302462516e-15,9.5761662899177e-14,1.12829857616974,1
"COL4A5",-0.365333735868983,0.00808457664465051,0.0970887316451939,0.95261507481688,0,-4.06313391818024,4.84182323499116e-05,0.000255536775150131,-1.54509892154912,1
"TNFRSF21",1.06550026348879,0.0788810355274981,15.7137649576122,0.000387078718436529,0.200516515832058,3.79373734584264,0.000148396647531301,0.000677899696353426,1.69435120803157,1
"COL6A2",0.670462947470171,0.00820542507148165,0.0627968157274569,0.969089403315663,0,7.40157663175546,1.34559030584569e-13,7.21127569423258e-12,1.2902591766275,1
"COL8A2",0.71374835191863,0.00823009520698282,1.47806977009283,0.477574607570102,0,7.86760755749285,3.5527136788005e-15,2.84548941186126e-13,1.61685659544546,1
"SLC27A6",-0.571443354700908,0.00815942252727173,0.194710311723982,0.907233739528434,0,-6.32620811735169,2.51258791550413e-10,5.60888117064375e-09,-1.3651165652588,1
"BLNK",1.09430266441582,0.085021225483955,16.9092003744499,0.000212918693193622,0.218583007942103,3.75295862394233,0.00017475970879377,0.000779921805610871,2.0933598307283,1
"ST8SIA5",0.949834036036844,0.0721676692457059,14.50588945201,0.000708086195938563,0.181077638000372,3.53570797574224,0.000406683983764866,0.00161263073759403,1.20933310906786,1
"CRHBP",1.12444823850816,0.0257005604105478,5.09002203688544,0.0784721873346561,0.0455231636093822,7.01403892568393,2.3152590955533e-12,9.17106843366317e-11,2.19387249817522,1
"PACSIN1",0.824634714354372,0.0326348286510698,6.59564845909621,0.0369635040724289,0.0659330603074333,4.56479149136247,4.9999103624021e-06,3.50402371888151e-05,1.73520066925622,1
"KCNIP1",0.577966085305923,0.00816078108486977,0.134778748114156,0.934831131471352,0,6.39788590677023,1.57542867640359e-10,3.71002000257433e-09,1.03789524654382,1
"ANO7",-0.611932709486356,0.00817739309756835,1.05588552032985,0.589817117681171,0,-6.76700083985243,1.31479271914259e-11,4.13946727147765e-10,-1.43895025853087,1
"MYEF2",0.606638203520491,0.00817428887758567,0.609604914129027,0.737269002290228,0,6.70972569932594,1.94990690260965e-11,5.97138506708843e-10,1.36320056358598,1
"CLEC4A",0.575280741740803,0.00816091682641296,0.498816737460294,0.779261682295408,0,6.36810711508731,1.91375360003576e-10,4.41404845375337e-09,1.06510774129625,1
"PI15",-0.442913371722423,0.0081089222783239,0.222237599617412,0.894832436691916,0,-4.91855150017709,8.71869797469671e-07,7.48483276661684e-06,-1.2722022634946,1
"CERCAM",-0.970642427961902,0.00839572462877698,0.241057785497831,0.886451474955482,0,-10.5932733270904,0,0,-1.39385866985259,1
"EGFL7",0.530132555563199,0.00814240046889785,0.231510148393961,0.890693350367991,0,5.87500507230267,4.22830392921014e-09,6.87901633661788e-08,1.20013942247557,1
"CRIM1",0.67628553244222,0.0209267163266522,4.33677886923211,0.114361655591637,0.0332123335293465,4.67497780317976,2.93985414967501e-06,2.21583526059011e-05,1.14430252807718,1
"CLEC1B",0.561134105736258,0.00815558234983469,1.03765139752845,0.595219104261853,0,6.21354112740524,5.18036724628246e-10,1.07417088689985e-08,1.23219505262497,1
"SLC15A3",0.517645134229721,0.00813650114124735,0.111405266728817,0.945820349491755,0,5.73869695224384,9.54077661319275e-09,1.39915393048804e-07,1.02783393849668,1
